Time,Totalcalls,ActiveCalls,RingingCalls
Tue Jul 19 00:19:40 EST 2022,0,0,0
Tue Jul 19 00:19:50 EST 2022,0,0,0
Tue Jul 19 00:20:00 EST 2022,0,0,0
Tue Jul 19 00:20:10 EST 2022,0,0,0
Tue Jul 19 00:20:20 EST 2022,0,0,0
Tue Jul 19 00:20:30 EST 2022,0,0,0
Tue Jul 19 00:20:40 EST 2022,0,0,0
Tue Jul 19 00:20:50 EST 2022,0,0,0
Tue Jul 19 00:21:00 EST 2022,0,0,0
Tue Jul 19 00:21:10 EST 2022,0,0,0
Tue Jul 19 00:21:20 EST 2022,0,0,0
Tue Jul 19 00:21:30 EST 2022,0,0,0
Tue Jul 19 00:21:40 EST 2022,0,0,0
Tue Jul 19 00:21:50 EST 2022,0,0,0
Tue Jul 19 00:22:00 EST 2022,0,0,0
Tue Jul 19 00:22:10 EST 2022,0,0,0
Tue Jul 19 00:22:20 EST 2022,0,0,0
Tue Jul 19 00:22:30 EST 2022,0,0,0
Tue Jul 19 00:22:40 EST 2022,0,0,0
Tue Jul 19 00:22:50 EST 2022,0,0,0
Tue Jul 19 00:23:00 EST 2022,0,0,0
Tue Jul 19 00:23:10 EST 2022,0,0,0
Tue Jul 19 00:23:20 EST 2022,0,0,0
Tue Jul 19 00:23:30 EST 2022,0,0,0
Tue Jul 19 00:23:40 EST 2022,0,0,0
Tue Jul 19 00:23:50 EST 2022,0,0,0
Tue Jul 19 00:24:00 EST 2022,0,0,0
Tue Jul 19 00:24:10 EST 2022,0,0,0
Tue Jul 19 00:24:20 EST 2022,0,0,0
Tue Jul 19 00:24:30 EST 2022,0,0,0
Tue Jul 19 00:24:40 EST 2022,0,0,0
Tue Jul 19 00:24:50 EST 2022,0,0,0
Tue Jul 19 00:25:00 EST 2022,0,0,0
Tue Jul 19 00:25:10 EST 2022,0,0,0
Tue Jul 19 00:25:20 EST 2022,0,0,0
Tue Jul 19 00:25:30 EST 2022,0,0,0
Tue Jul 19 00:25:40 EST 2022,0,0,0
Tue Jul 19 00:25:50 EST 2022,0,0,0
Tue Jul 19 00:26:00 EST 2022,0,0,0
Tue Jul 19 00:26:10 EST 2022,0,0,0
Tue Jul 19 00:26:20 EST 2022,0,0,0
Tue Jul 19 00:26:30 EST 2022,0,0,0
Tue Jul 19 00:26:40 EST 2022,0,0,0
Tue Jul 19 00:26:50 EST 2022,0,0,0
Tue Jul 19 00:27:00 EST 2022,0,0,0
Tue Jul 19 00:27:10 EST 2022,0,0,0
Tue Jul 19 00:27:20 EST 2022,0,0,0
Tue Jul 19 00:27:30 EST 2022,0,0,0
Tue Jul 19 00:27:40 EST 2022,0,0,0
Tue Jul 19 00:27:50 EST 2022,0,0,0
Tue Jul 19 00:28:00 EST 2022,0,0,0
Tue Jul 19 00:28:10 EST 2022,0,0,0
Tue Jul 19 00:28:20 EST 2022,0,0,0
Tue Jul 19 00:28:30 EST 2022,0,0,0
Tue Jul 19 00:28:40 EST 2022,0,0,0
Tue Jul 19 00:28:51 EST 2022,0,0,0
Tue Jul 19 00:29:01 EST 2022,0,0,0
Tue Jul 19 00:29:11 EST 2022,0,0,0
Tue Jul 19 00:29:21 EST 2022,0,0,0
Tue Jul 19 00:29:31 EST 2022,0,0,0
Tue Jul 19 00:29:41 EST 2022,0,0,0
Tue Jul 19 00:29:51 EST 2022,0,0,0
Tue Jul 19 00:30:01 EST 2022,0,0,0
Tue Jul 19 00:30:11 EST 2022,0,0,0
Tue Jul 19 00:30:21 EST 2022,0,0,0
Tue Jul 19 00:30:31 EST 2022,0,0,0
Tue Jul 19 00:30:41 EST 2022,0,0,0
Tue Jul 19 00:30:51 EST 2022,0,0,0
Tue Jul 19 00:31:01 EST 2022,0,0,0
